fw,mver,lts,dst_addr,dst_port,af,src_addr,proto,msm_id,prb_id,timestamp,msm_name,from,type,group_id,stored_timestamp,result.rt,result.size,result.abuf,result.ID,result.ANCOUNT,result.QDCOUNT,result.NSCOUNT,result.ARCOUNT,algorithm,strategy,label,error.timeout
5080,2.6.2,22,15.134.173.185,53,4,10.2.4.2,UDP,152676244,12410,1770094811,Tdig,159.196.176.45,dns,152676244,1770094814,25.593,69.0,RsyAgAABAAAAAQABBXRlc3QwB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,18124.0,0.0,1.0,1.0,1.0,FALCON512,QBF,MB3,
5080,2.6.2,2,15.134.173.185,53,4,192.168.7.78,UDP,152676244,30612,1770094810,Tdig,210.185.126.125,dns,152676244,1770094813,30.534,69.0,KqyAgAABAAAAAQABBXRlc3QwB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,10924.0,0.0,1.0,1.0,1.0,FALCON512,QBF,MB3,
5080,2.6.2,22,15.134.173.185,53,4,10.2.4.2,UDP,152676245,12410,1770094811,Tdig,159.196.176.45,dns,152676244,1770094814,24.095,69.0,SYeAgAABAAAAAQABBXRlc3QxB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,18823.0,0.0,1.0,1.0,1.0,FALCON512,QBF,MB3,
5080,2.6.2,2,15.134.173.185,53,4,192.168.7.78,UDP,152676245,30612,1770094810,Tdig,210.185.126.125,dns,152676244,1770094813,28.515,69.0,0qWAgAABAAAAAQABBXRlc3QxB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,53925.0,0.0,1.0,1.0,1.0,FALCON512,QBF,MB3,
5080,2.6.2,9,15.134.173.185,53,4,192.168.20.100,UDP,152676613,21741,1770094885,Tdig,58.96.37.147,dns,152676613,1770094892,,,,,,,,,FALCON512,QBF,MB3,5000.0
5080,2.6.2,12,15.134.173.185,53,4,10.100.2.52,UDP,152676613,54500,1770094883,Tdig,103.138.94.66,dns,152676613,1770094886,6.296,69.0,qYOAgAABAAAAAQABBXRlc3QwB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,43395.0,0.0,1.0,1.0,1.0,FALCON512,QBF,MB3,
5080,2.6.2,9,15.134.173.185,53,4,192.168.20.100,UDP,152676614,21741,1770094885,Tdig,58.96.37.147,dns,152676613,1770094892,,,,,,,,,FALCON512,QBF,MB3,5000.0
5080,2.6.2,13,15.134.173.185,53,4,10.100.2.52,UDP,152676614,54500,1770094883,Tdig,103.138.94.66,dns,152676613,1770094886,5.944,69.0,/A2AgAABAAAAAQABBXRlc3QxB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,64525.0,0.0,1.0,1.0,1.0,FALCON512,QBF,MB3,
5080,2.6.2,34,15.134.173.185,53,4,203.0.120.19,UDP,152676835,12418,1770095077,Tdig,203.0.120.19,dns,152676835,1770095077,15.942,69.0,ByeAgAABAAAAAQABBXRlc3QwB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,1831.0,0.0,1.0,1.0,1.0,FALCON512,QBF,MB3,
5080,2.6.2,16,15.134.173.185,53,4,192.168.20.2,UDP,152676835,64634,1770095075,Tdig,167.179.176.191,dns,152676835,1770095077,24.913,69.0,IFeAgAABAAAAAQABBXRlc3QwB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,8279.0,0.0,1.0,1.0,1.0,FALCON512,QBF,MB3,
5080,2.6.2,34,15.134.173.185,53,4,203.0.120.19,UDP,152676836,12418,1770095077,Tdig,203.0.120.19,dns,152676835,1770095077,15.955,69.0,IiuAgAABAAAAAQABBXRlc3QxB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,8747.0,0.0,1.0,1.0,1.0,FALCON512,QBF,MB3,
5080,2.6.2,16,15.134.173.185,53,4,192.168.20.2,UDP,152676836,64634,1770095075,Tdig,167.179.176.191,dns,152676835,1770095077,26.635,69.0,r1eAgAABAAAAAQABBXRlc3QxB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,44887.0,0.0,1.0,1.0,1.0,FALCON512,QBF,MB3,
4790,,93,15.134.173.185,,4,192.168.20.11,UDP,152677011,1318,1770095137,Tdig,115.70.99.57,dns,152677011,1770095140,264.373,69.0,8XuAgAABAAAAAQABBXRlc3QwB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,61819.0,0.0,1.0,1.0,1.0,FALCON512,QBF,MB3,
5080,2.6.2,10,15.134.173.185,53,4,192.168.1.250,UDP,152677011,61561,1770095138,Tdig,121.45.32.11,dns,152677011,1770095140,9.661,69.0,MueAgAABAAAAAQABBXRlc3QwB2V4YW1wbGUFbG9jYWwAAAEAAQAAAgABAAABSgAKA25zMQRyb290AAAAKQTQAAAAAAAA,13031.0,0.0,1.0,1.0,1.0,FALCON512,QBF,MB3,
