fw,mver,lts,dst_addr,dst_port,af,src_addr,proto,msm_id,prb_id,timestamp,msm_name,from,type,group_id,stored_timestamp,result.rt,result.size,result.abuf,result.ID,result.ANCOUNT,result.QDCOUNT,result.NSCOUNT,result.ARCOUNT,error.timeout,qname,rcode,algorithm,strategy,label
5120,2.6.4,307,15.134.173.185,53,4,103.101.130.53,UDP,153026617,1002037,1770271850,Tdig,103.101.130.53,dns,153026598,1770271852,71.837,99.0,damBgAABAAEAAQACBnRlc3QxOQdleGFtcGxlBWxvY2FsAAABAAHADAABAAEAAAAAAAQqKioTwBMAAgABAAk6fgAGA25zMcATwEIAAQABAAk6fgAEEBsE/QAAKQTQAAAAAAAA,30121.0,1.0,1.0,1.0,2.0,,,,FALCON512,QBF,TMP
5110,2.6.4,37,15.134.173.185,53,4,10.0.1.42,UDP,153026617,1005004,1770271851,Tdig,16.26.192.86,dns,153026598,1770271853,64.807,99.0,aJyBgAABAAEAAQACBnRlc3QxOQdleGFtcGxlBWxvY2FsAAABAAHADAABAAEAAAAAAAQqKioTwBMAAgABAAk6fQAGA25zMcATwEIAAQABAAk6fQAEEBsE/QAAKQTQAAAAAAAA,26780.0,1.0,1.0,1.0,2.0,,,,FALCON512,QBF,TMP
5110,2.6.4,10,15.134.173.185,53,4,146.19.0.17,UDP,153026617,1006839,1770271851,Tdig,146.19.0.17,dns,153026598,1770271854,83.531,99.0,fXuBgAABAAEAAQACBnRlc3QxOQdleGFtcGxlBWxvY2FsAAABAAHADAABAAEAAAAAAAQqKioTwBMAAgABAAk6fQAGA25zMcATwEIAAQABAAk6fQAEEBsE/QAAKQTQAAAAAAAA,32123.0,1.0,1.0,1.0,2.0,,,,FALCON512,QBF,TMP
5080,2.6.2,59,15.134.173.185,53,4,172.17.0.2,UDP,153026617,1007336,1770271851,Tdig,149.28.175.108,dns,153026598,1770271854,28.925,99.0,LRqBgAABAAEAAQACBnRlc3QxOQdleGFtcGxlBWxvY2FsAAABAAHADAABAAEAAAAAAAQqKioTwBMAAgABAAk6fQAGA25zMcATwEIAAQABAAk6fQAEEBsE/QAAKQTQAAAAAAAA,11546.0,1.0,1.0,1.0,2.0,,,,FALCON512,QBF,TMP
5090,2.6.4,21,15.134.173.185,53,4,10.0.0.93,UDP,153026617,1008919,1770271850,Tdig,152.69.167.24,dns,153026598,1770271853,53.07,99.0,damBgAABAAEAAQACBnRlc3QxOQdleGFtcGxlBWxvY2FsAAABAAHADAABAAEAAAAAAAQqKioTwBMAAgABAAk6fgAGA25zMcATwEIAAQABAAk6fgAEEBsE/QAAKQTQAAAAAAAA,30121.0,1.0,1.0,1.0,2.0,,,,FALCON512,QBF,TMP
5120,2.6.4,54,15.134.173.185,53,4,67.219.106.231,UDP,153026617,1010874,1770271851,Tdig,67.219.106.231,dns,153026598,1770271853,94.804,99.0,SdGBgAABAAEAAQACBnRlc3QxOQdleGFtcGxlBWxvY2FsAAABAAHADAABAAEAAAAAAAQqKioTwBMAAgABAAk6fQAGA25zMcATwEIAAQABAAk6fQAEEBsE/QAAKQTQAAAAAAAA,18897.0,1.0,1.0,1.0,2.0,,,,FALCON512,QBF,TMP
5110,2.6.4,144,15.134.173.185,53,4,80.97.44.60,UDP,153026617,1011198,1770271851,Tdig,80.97.44.60,dns,153026598,1770271853,19.112,99.0,cwKBgAABAAEAAQACBnRlc3QxOQdleGFtcGxlBWxvY2FsAAABAAHADAABAAEAAAAAAAQqKioTwBMAAgABAAk6fQAGA25zMcATwEIAAQABAAk6fQAEEBsE/QAAKQTQAAAAAAAA,29442.0,1.0,1.0,1.0,2.0,,,,FALCON512,QBF,TMP
5110,2.6.4,59,15.134.173.185,53,4,192.168.1.233,UDP,153026617,1011582,1770271851,Tdig,119.15.109.18,dns,153026598,1770271854,55.834,99.0,GtOBgAABAAEAAQACBnRlc3QxOQdleGFtcGxlBWxvY2FsAAABAAHADAABAAEAAAAAAAQqKioTwBMAAgABAAk6fQAGA25zMcATwEIAAQABAAk6fQAEEBsE/QAAKQTQAAAAAAAA,6867.0,1.0,1.0,1.0,2.0,,,,FALCON512,QBF,TMP
5120,2.6.4,721908,15.134.173.185,53,4,193.177.221.9,UDP,153026617,1013324,1770271840,Tdig,193.177.221.9,dns,153026598,1770271852,73.301,99.0,FTWBgAABAAEAAQACBnRlc3QxOQdleGFtcGxlBWxvY2FsAAABAAHADAABAAEAAAAAAAQqKioTwBMAAgABAAk6fQAGA25zMcATwEIAAQABAAk6fQAEEBsE/QAAKQTQAAAAAAAA,5429.0,1.0,1.0,1.0,2.0,,,,FALCON512,QBF,TMP
5080,2.6.2,49,15.134.173.185,53,4,10.199.0.23,UDP,153026617,12422,1770271852,Tdig,144.6.46.216,dns,153026598,1770271853,10.509,124.0,9KWBgwABAAAAAQABBnRlc3QxOQdleGFtcGxlBWxvY2FsAAABAAEAAAYAAQAABwgAQAFhDHJvb3Qtc2VydmVycwNuZXQABW5zdGxkDHZlcmlzaWduLWdycwNjb20AeMKelAAABwgAAAOEAAk6gAABUYAAACkE0AAAAAAAAA==,62629.0,0.0,1.0,1.0,1.0,,,,FALCON512,QBF,TMP
5080,2.6.2,38,15.134.173.185,53,4,192.168.20.100,UDP,153026617,21741,1770271856,Tdig,58.96.37.147,dns,153026598,1770271863,,,,,,,,,5000.0,,,FALCON512,QBF,TMP
