"label","description","algorithm","strategy","delay","rate"
"AU","We run this experiment locally using docker!","FALCON512","QBF","0","0"
"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test0.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test1.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test2.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","2"
"test3.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","1"
"test4.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test5.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","1"
"test6.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test7.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test8.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test9.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test10.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test11.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test12.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test13.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test14.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test15.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test16.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test17.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test18.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
"test19.example.local","Thu Jan 29 16:22:15 AEDT 2026","127.0.0.1#53","NOERROR","0"
