label,algorithm,strategy,delay,rate
MB,FALCON512,QBF,na,na
Domain,Timestamp,Resolver,Status,Query Time
test.example.local,Tue Jan 27 14:03:25 AEDT 2026,15.134.173.185#53,NOERROR,136
test0.example.local,Tue Jan 27 14:03:25 AEDT 2026,15.134.173.185#53,NOERROR,57
test1.example.local,Tue Jan 27 14:03:26 AEDT 2026,15.134.173.185#53,NOERROR,55
test2.example.local,Tue Jan 27 14:03:26 AEDT 2026,15.134.173.185#53,NOERROR,55
test3.example.local,Tue Jan 27 14:03:26 AEDT 2026,15.134.173.185#53,NOERROR,53
test4.example.local,Tue Jan 27 14:03:26 AEDT 2026,15.134.173.185#53,NOERROR,58
test5.example.local,Tue Jan 27 14:03:26 AEDT 2026,15.134.173.185#53,NOERROR,60
test6.example.local,Tue Jan 27 14:03:26 AEDT 2026,15.134.173.185#53,NOERROR,51
test7.example.local,Tue Jan 27 14:03:26 AEDT 2026,15.134.173.185#53,NOERROR,58
test8.example.local,Tue Jan 27 14:03:26 AEDT 2026,15.134.173.185#53,NOERROR,59
test9.example.local,Tue Jan 27 14:03:26 AEDT 2026,15.134.173.185#53,NOERROR,56
test10.example.local,Tue Jan 27 14:03:26 AEDT 2026,15.134.173.185#53,NOERROR,60
test11.example.local,Tue Jan 27 14:03:26 AEDT 2026,15.134.173.185#53,NOERROR,56
test12.example.local,Tue Jan 27 14:03:26 AEDT 2026,15.134.173.185#53,NOERROR,57
test13.example.local,Tue Jan 27 14:03:26 AEDT 2026,15.134.173.185#53,NOERROR,60
test14.example.local,Tue Jan 27 14:03:26 AEDT 2026,15.134.173.185#53,NOERROR,56
test15.example.local,Tue Jan 27 14:03:26 AEDT 2026,15.134.173.185#53,NOERROR,55
test16.example.local,Tue Jan 27 14:03:27 AEDT 2026,15.134.173.185#53,NOERROR,55
test17.example.local,Tue Jan 27 14:03:27 AEDT 2026,15.134.173.185#53,NOERROR,61
test18.example.local,Tue Jan 27 14:03:27 AEDT 2026,15.134.173.185#53,NOERROR,61
test19.example.local,Tue Jan 27 14:03:27 AEDT 2026,15.134.173.185#53,NOERROR,53
