label,algorithm,strategy,delay,rate
MB,RSA3072_FALCON512,QBF,na,na
Domain,Timestamp,Resolver,Status,Query Time
test.example.local,Tue Jan 27 14:26:22 AEDT 2026,15.134.173.185#53,NOERROR,125
test0.example.local,Tue Jan 27 14:26:22 AEDT 2026,15.134.173.185#53,NOERROR,60
test1.example.local,Tue Jan 27 14:26:22 AEDT 2026,15.134.173.185#53,NOERROR,59
test2.example.local,Tue Jan 27 14:26:22 AEDT 2026,15.134.173.185#53,NOERROR,56
test3.example.local,Tue Jan 27 14:26:22 AEDT 2026,15.134.173.185#53,NOERROR,59
test4.example.local,Tue Jan 27 14:26:22 AEDT 2026,15.134.173.185#53,NOERROR,56
test5.example.local,Tue Jan 27 14:26:22 AEDT 2026,15.134.173.185#53,NOERROR,59
test6.example.local,Tue Jan 27 14:26:22 AEDT 2026,15.134.173.185#53,NOERROR,64
test7.example.local,Tue Jan 27 14:26:22 AEDT 2026,15.134.173.185#53,NOERROR,60
test8.example.local,Tue Jan 27 14:26:22 AEDT 2026,15.134.173.185#53,NOERROR,53
test9.example.local,Tue Jan 27 14:26:23 AEDT 2026,15.134.173.185#53,NOERROR,60
test10.example.local,Tue Jan 27 14:26:23 AEDT 2026,15.134.173.185#53,NOERROR,75
test11.example.local,Tue Jan 27 14:26:23 AEDT 2026,15.134.173.185#53,NOERROR,62
test12.example.local,Tue Jan 27 14:26:23 AEDT 2026,15.134.173.185#53,NOERROR,59
test13.example.local,Tue Jan 27 14:26:23 AEDT 2026,15.134.173.185#53,NOERROR,54
test14.example.local,Tue Jan 27 14:26:23 AEDT 2026,15.134.173.185#53,NOERROR,53
test15.example.local,Tue Jan 27 14:26:23 AEDT 2026,15.134.173.185#53,NOERROR,60
test16.example.local,Tue Jan 27 14:26:23 AEDT 2026,15.134.173.185#53,NOERROR,58
test17.example.local,Tue Jan 27 14:26:23 AEDT 2026,15.134.173.185#53,NOERROR,57
test18.example.local,Tue Jan 27 14:26:23 AEDT 2026,15.134.173.185#53,NOERROR,55
test19.example.local,Tue Jan 27 14:26:23 AEDT 2026,15.134.173.185#53,NOERROR,57
