label,algorithm,strategy,delay,rate
MB,P256_FALCON512,TCP,na,na
Domain,Timestamp,Resolver,Status,Query Time
test.example.local,Tue Jan 27 14:23:12 AEDT 2026,15.134.173.185#53,NOERROR,152
test0.example.local,Tue Jan 27 14:23:12 AEDT 2026,15.134.173.185#53,NOERROR,71
test1.example.local,Tue Jan 27 14:23:12 AEDT 2026,15.134.173.185#53,NOERROR,70
test2.example.local,Tue Jan 27 14:23:12 AEDT 2026,15.134.173.185#53,NOERROR,74
test3.example.local,Tue Jan 27 14:23:12 AEDT 2026,15.134.173.185#53,NOERROR,76
test4.example.local,Tue Jan 27 14:23:12 AEDT 2026,15.134.173.185#53,NOERROR,67
test5.example.local,Tue Jan 27 14:23:12 AEDT 2026,15.134.173.185#53,NOERROR,69
test6.example.local,Tue Jan 27 14:23:12 AEDT 2026,15.134.173.185#53,NOERROR,71
test7.example.local,Tue Jan 27 14:23:13 AEDT 2026,15.134.173.185#53,NOERROR,70
test8.example.local,Tue Jan 27 14:23:13 AEDT 2026,15.134.173.185#53,NOERROR,71
test9.example.local,Tue Jan 27 14:23:13 AEDT 2026,15.134.173.185#53,NOERROR,67
test10.example.local,Tue Jan 27 14:23:13 AEDT 2026,15.134.173.185#53,NOERROR,69
test11.example.local,Tue Jan 27 14:23:13 AEDT 2026,15.134.173.185#53,NOERROR,66
test12.example.local,Tue Jan 27 14:23:13 AEDT 2026,15.134.173.185#53,NOERROR,68
test13.example.local,Tue Jan 27 14:23:13 AEDT 2026,15.134.173.185#53,NOERROR,66
test14.example.local,Tue Jan 27 14:23:13 AEDT 2026,15.134.173.185#53,NOERROR,66
test15.example.local,Tue Jan 27 14:23:13 AEDT 2026,15.134.173.185#53,NOERROR,70
test16.example.local,Tue Jan 27 14:23:13 AEDT 2026,15.134.173.185#53,NOERROR,68
test17.example.local,Tue Jan 27 14:23:13 AEDT 2026,15.134.173.185#53,NOERROR,69
test18.example.local,Tue Jan 27 14:23:13 AEDT 2026,15.134.173.185#53,NOERROR,71
test19.example.local,Tue Jan 27 14:23:13 AEDT 2026,15.134.173.185#53,NOERROR,70
