label,algorithm,strategy,delay,rate
MB,RSA3072_FALCON512,TCP,na,na
Domain,Timestamp,Resolver,Status,Query Time
test.example.local,Tue Jan 27 14:28:35 AEDT 2026,15.134.173.185#53,NOERROR,137
test0.example.local,Tue Jan 27 14:28:35 AEDT 2026,15.134.173.185#53,NOERROR,66
test1.example.local,Tue Jan 27 14:28:35 AEDT 2026,15.134.173.185#53,NOERROR,76
test2.example.local,Tue Jan 27 14:28:35 AEDT 2026,15.134.173.185#53,NOERROR,69
test3.example.local,Tue Jan 27 14:28:35 AEDT 2026,15.134.173.185#53,NOERROR,67
test4.example.local,Tue Jan 27 14:28:35 AEDT 2026,15.134.173.185#53,NOERROR,72
test5.example.local,Tue Jan 27 14:28:35 AEDT 2026,15.134.173.185#53,NOERROR,67
test6.example.local,Tue Jan 27 14:28:36 AEDT 2026,15.134.173.185#53,NOERROR,70
test7.example.local,Tue Jan 27 14:28:36 AEDT 2026,15.134.173.185#53,NOERROR,68
test8.example.local,Tue Jan 27 14:28:36 AEDT 2026,15.134.173.185#53,NOERROR,67
test9.example.local,Tue Jan 27 14:28:36 AEDT 2026,15.134.173.185#53,NOERROR,70
test10.example.local,Tue Jan 27 14:28:36 AEDT 2026,15.134.173.185#53,NOERROR,71
test11.example.local,Tue Jan 27 14:28:36 AEDT 2026,15.134.173.185#53,NOERROR,65
test12.example.local,Tue Jan 27 14:28:36 AEDT 2026,15.134.173.185#53,NOERROR,66
test13.example.local,Tue Jan 27 14:28:36 AEDT 2026,15.134.173.185#53,NOERROR,74
test14.example.local,Tue Jan 27 14:28:36 AEDT 2026,15.134.173.185#53,NOERROR,65
test15.example.local,Tue Jan 27 14:28:36 AEDT 2026,15.134.173.185#53,NOERROR,66
test16.example.local,Tue Jan 27 14:28:36 AEDT 2026,15.134.173.185#53,NOERROR,68
test17.example.local,Tue Jan 27 14:28:36 AEDT 2026,15.134.173.185#53,NOERROR,60
test18.example.local,Tue Jan 27 14:28:37 AEDT 2026,15.134.173.185#53,NOERROR,70
test19.example.local,Tue Jan 27 14:28:37 AEDT 2026,15.134.173.185#53,NOERROR,69
