af,aggregator_client_id,auto_topup,auto_topup_prb_days_off,auto_topup_prb_similarity,cookies,creation_time,credits_per_result,default_client_subnet,description,estimated_results_per_day,group,group_id,id,in_wifi_group,include_abuf,include_qbuf,interval,is_all_scheduled,is_oneoff,is_public,participant_count,port,prepend_probe_id,probes_requested,probes_scheduled,protocol,query_argument,query_class,query_type,resolve_on_probe,resolved_ips,result,retry,set_ad_bit,set_cd_bit,set_do_bit,set_nsid_bit,set_rd_bit,spread,start_time,stop_time,tags,target,target_asn,target_ip,target_prefix,target_update_hours,target_update_last,timeout,tls,ttl,type,udp_payload_size,use_macros,use_probe_resolver,status.name,status.id,status.when,label
4,,False,7,0.5,,1770094809,20,,"[Hydra DNS] {""algorithm"": ""FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB3""}",2,https://atlas.ripe.net/api/v2/measurements/groups/152676244/,152676244,152676244,False,True,,,True,True,True,2,,,0,2,UDP,test0.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/152676244/results/,0,,,,,,,1770094808,1770095160.0,[],15.134.173.185,,15.134.173.185,,0,,5000,,,dns,1232,,,Stopped,4,1770095160.0,MB3
4,,False,7,0.5,,1770094809,20,,"[Hydra DNS] {""algorithm"": ""FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB3""}",2,https://atlas.ripe.net/api/v2/measurements/groups/152676244/,152676244,152676245,False,True,,,True,True,True,2,,,0,2,UDP,test1.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/152676245/results/,0,,,,,,,1770094808,1770095160.0,[],15.134.173.185,,15.134.173.185,,0,,5000,,,dns,1232,,,Stopped,4,1770095160.0,MB3
4,,False,7,0.5,,1770094882,20,,"[Hydra DNS] {""algorithm"": ""FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB3""}",2,https://atlas.ripe.net/api/v2/measurements/groups/152676613/,152676613,152676613,False,True,,,True,True,True,2,,,0,2,UDP,test0.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/152676613/results/,0,,,,,,,1770094882,1770095220.0,[],15.134.173.185,,15.134.173.185,,0,,5000,,,dns,1232,,,Stopped,4,1770095220.0,MB3
4,,False,7,0.5,,1770094882,20,,"[Hydra DNS] {""algorithm"": ""FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB3""}",2,https://atlas.ripe.net/api/v2/measurements/groups/152676613/,152676613,152676614,False,True,,,True,True,True,2,,,0,2,UDP,test1.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/152676614/results/,0,,,,,,,1770094882,1770095220.0,[],15.134.173.185,,15.134.173.185,,0,,5000,,,dns,1232,,,Stopped,4,1770095220.0,MB3
4,,False,7,0.5,,1770095073,20,,"[Hydra DNS] {""algorithm"": ""FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB3""}",2,https://atlas.ripe.net/api/v2/measurements/groups/152676835/,152676835,152676835,False,True,,,True,True,True,2,,,0,2,UDP,test0.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/152676835/results/,0,,,,,,,1770095073,1770095400.0,[],15.134.173.185,,15.134.173.185,,0,,5000,,,dns,1232,,,Stopped,4,1770095400.0,MB3
4,,False,7,0.5,,1770095073,20,,"[Hydra DNS] {""algorithm"": ""FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB3""}",2,https://atlas.ripe.net/api/v2/measurements/groups/152676835/,152676835,152676836,False,True,,,True,True,True,2,,,0,2,UDP,test1.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/152676836/results/,0,,,,,,,1770095073,1770095400.0,[],15.134.173.185,,15.134.173.185,,0,,5000,,,dns,1232,,,Stopped,4,1770095400.0,MB3
4,,False,7,0.5,,1770095135,20,,"[Hydra DNS] {""algorithm"": ""FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB3""}",2,https://atlas.ripe.net/api/v2/measurements/groups/152677011/,152677011,152677011,False,True,,,True,True,True,2,,,0,2,UDP,test0.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/152677011/results/,0,,,,,,,1770095135,1770095460.0,[],15.134.173.185,,15.134.173.185,,0,,5000,,,dns,1232,,,Stopped,4,1770095460.0,MB3
4,,False,7,0.5,,1770095135,20,,"[Hydra DNS] {""algorithm"": ""FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB3""}",2,https://atlas.ripe.net/api/v2/measurements/groups/152677011/,152677011,152677012,False,True,,,True,True,True,2,,,0,2,UDP,test1.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/152677012/results/,0,,,,,,,1770095135,1770095460.0,[],15.134.173.185,,15.134.173.185,,0,,5000,,,dns,1232,,,Stopped,4,1770095460.0,MB3
4,,False,7,0.5,,1770095160,20,,"[Hydra DNS] {""algorithm"": ""FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB3""}",2,https://atlas.ripe.net/api/v2/measurements/groups/152677082/,152677082,152677082,False,True,,,True,True,True,2,,,0,2,UDP,test0.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/152677082/results/,0,,,,,,,1770095160,1770095520.0,[],15.134.173.185,,15.134.173.185,,0,,5000,,,dns,1232,,,Stopped,4,1770095520.0,MB3
4,,False,7,0.5,,1770095160,20,,"[Hydra DNS] {""algorithm"": ""FALCON512"", ""strategy"": ""QBF"", ""label"": ""MB3""}",2,https://atlas.ripe.net/api/v2/measurements/groups/152677082/,152677082,152677083,False,True,,,True,True,True,2,,,0,2,UDP,test1.example.local.,IN,A,False,['15.134.173.185'],https://atlas.ripe.net/api/v2/measurements/152677083/results/,0,,,,,,,1770095160,1770095520.0,[],15.134.173.185,,15.134.173.185,,0,,5000,,,dns,1232,,,Stopped,4,1770095520.0,MB3
